scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,CASALI Schoko-Bananen Eier,,5.49,,EUR,,,"per Packung (100 per Gramm = € 3,05 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MONARC Schoko-Bananen-Hasen, Hase",,2.99,,EUR,,,"per Packung (1 per Kilogramm = € 11,16 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MUCCI My Moments gestrudelt, Bananen Split",,3.49,,EUR,,,"per Stück (1 L = € 3,88 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MONARC Schoko-Bananen-Hasen, Riesen Hasen",,2.99,,EUR,,,"per Packung (1 per Kilogramm = € 12,40 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MULTINORM Protein Shake, Banane",,13.99,,EUR,,,"per Stück (100 per Gramm = € 3,11 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MILSANI Fruchtjoghurt Quetschi, Erdbeer-Banane",,0.69,,EUR,,,"per Stück (1 per Kilogramm = € 6,90 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"SWEET VALLEY Fruchtsnack, Apfel/Banane/Erdbeere",,0.55,,EUR,,,"per Stück (1 per Kilogramm = € 5,50 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Fruchtsnack, Apfel-Banane-Erdbeere",,0.69,,EUR,,,"per Stück (1 per Kilogramm = € 6,90 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Fruchtsnack, Apfel-Banane-Himbeere",,0.69,,EUR,,,"per Stück (1 per Kilogramm = € 6,90 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MAMIA BIO Bio-Früchteriegel, Apfel-Banane",,0.59,,EUR,,,"per Stück (1 per Kilogramm = € 23,60 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"SWEET VALLEY Fruchtsnack, Apfel/Birne/Banane/Marille",,0.55,,EUR,,,"per Stück (1 per Kilogramm = € 5,50 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"CRANE Protein Riegel Low Carb, Banane-Cookie",,2.99,,EUR,,,"per Packung (1 per Kilogramm = € 22,15 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:53+0100,2026-03-26,Hofer,Bananen,Bananen,Eigenmarke,"MAMIA BIO Bio-Früchteriegel, Banane-Apfel-Aronia",,0.59,,EUR,,,"per Stück (1 per Kilogramm = € 23,60 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Bananen,,lose Ware oder Standardbueschel
2026-03-26T15:56:54+0100,2026-03-26,Hofer,Brot,Toastbrot,Eigenmarke,HAPPY HARVEST Toastbrot,,0.99,,EUR,,,"per Packung (1 per Kilogramm = € 1,98 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Toastbrot,,Standardpackung bevorzugt
2026-03-26T15:56:59+0100,2026-03-26,Hofer,Butter,Teebutter,Eigenmarke,"ZURÜCK ZUM URSPRUNG Buttervariation, Streichzart",ZURÜCK ZUM URSPRUNG,2.99,,EUR,,,,,,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-buttervariation-streichzart.000000000110877002.html,Streichfaehige oder klassische Butter
2026-03-26T15:57:00+0100,2026-03-26,Hofer,Eier,Eier,Eigenmarke,FAIR HOF Freilandeier M/L,FAIR HOF,3.79,,EUR,,,10 Stk.,10,stk,FALSE,,,,,hofer,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,https://www.hofer.at/de/p.fair-hof-freilandeier-m-l.000000000000286196.html,Packungsgroesse dokumentieren
2026-03-26T15:57:03+0100,2026-03-26,Hofer,Fisch,Raeucherlachs,Eigenmarke,BIO Räucherlachs,BIO,4.49,,EUR,,,100 g Günstiger seit 15.12.2025,100,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,https://www.hofer.at/de/p.bio-raeucherlachs.000000000000634004.html,Moeglichst Standardprodukt
2026-03-26T15:57:06+0100,2026-03-26,Hofer,Fleisch,Faschiertes gemischt,Eigenmarke,Faschiertes gemischt,FAIR HOF,5.49,,EUR,,,,,,FALSE,,,,,hofer,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,https://www.hofer.at/de/p.faschiertes-gemischt.000000000000538979.html,Frischware
2026-03-26T15:57:08+0100,2026-03-26,Hofer,Haferflocken,Haferflocken,Eigenmarke,"HAPPY HARVEST Haferflocken, Großblatt",,0.69,,EUR,,,"per Packung (1 per Kilogramm = € 1,38 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Haferflocken,,500 g oder 1 kg bevorzugt
2026-03-26T15:57:08+0100,2026-03-26,Hofer,Haferflocken,Haferflocken,Eigenmarke,"HAPPY HARVEST Haferflocken, Zart",,0.69,,EUR,,,"per Packung (1 per Kilogramm = € 1,38 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Haferflocken,,500 g oder 1 kg bevorzugt
2026-03-26T15:57:08+0100,2026-03-26,Hofer,Haferflocken,Haferflocken,Eigenmarke,"ZURÜCK ZUM URSPRUNG BIO-Haferflocken, Kleinblatt",,1.59,,EUR,,,"per Packung (1 per Kilogramm = € 3,18 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Haferflocken,,500 g oder 1 kg bevorzugt
2026-03-26T15:57:10+0100,2026-03-26,Hofer,Joghurt,Naturjoghurt,Eigenmarke,ZURÜCK ZUM URSPRUNG BIO-Naturjoghurt,,1.69,,EUR,,,"per Stück (1 per Kilogramm = € 3,76 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Naturjoghurt,,Becher oder 500 g bevorzugt
2026-03-26T15:57:10+0100,2026-03-26,Hofer,Joghurt,Naturjoghurt,Eigenmarke,MILSANI High Pro Naturjoghurt,,1.49,,EUR,,,"per Stück (1 per Kilogramm = € 2,98 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Naturjoghurt,,Becher oder 500 g bevorzugt
2026-03-26T15:57:10+0100,2026-03-26,Hofer,Joghurt,Naturjoghurt,Eigenmarke,"MILSANI Naturjoghurt 1,8% Fett",,0.79,,EUR,,,"per Stück (1 per Kilogramm = € 1,58 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Naturjoghurt,,Becher oder 500 g bevorzugt
2026-03-26T15:57:10+0100,2026-03-26,Hofer,Joghurt,Naturjoghurt,Eigenmarke,"MILSANI Naturjoghurt 3,6% Fett",,0.79,,EUR,,,"per Stück (1 per Kilogramm = € 1,58 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Naturjoghurt,,Becher oder 500 g bevorzugt
2026-03-26T15:57:13+0100,2026-03-26,Hofer,Kaese,Mozzarella,Eigenmarke,ZURÜCK ZUM URSPRUNG BIO-Bergbauern Mozzarella,ZURÜCK ZUM URSPRUNG,1.39,,EUR,,,125 g,125,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,https://www.hofer.at/de/p.zurueck-zum-ursprung-bio-bergbauern-mozzarella.000000000000106894.html,Kugel oder Standardpackung
