scraped_at,scrape_date,store_name,food_group,category_name,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-05-10T09:20:51+0200,2026-05-10,MPreis,Brot,Brot,Toastbrot,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Toastbrot,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:54+0200,2026-05-10,MPreis,Butter,Butter,Teebutter,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Teebutter,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:57+0200,2026-05-10,MPreis,Eier,Eier,Eier,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Eier,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:20:59+0200,2026-05-10,MPreis,Fisch,Fisch,Raeucherlachs,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Raeucherlachs,,SCRAPE_ERROR: parser returned no products.
2026-05-10T09:21:01+0200,2026-05-10,MPreis,Fleisch,Fleisch,Faschiertes gemischt,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Faschiertes%20gemischt,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:03+0200,2026-05-10,MPreis,Haferflocken,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Haferflocken,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:07+0200,2026-05-10,MPreis,Joghurt,Joghurt,Naturjoghurt,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Naturjoghurt,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:09+0200,2026-05-10,MPreis,Kaese,Kaese,Mozzarella,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Mozzarella,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:13+0200,2026-05-10,MPreis,Kaffee,Kaffee,Kaffee Crema,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Kaffee%20Crema,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:16+0200,2026-05-10,MPreis,Karotten,Karotten,Karotten,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Karotten,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:19+0200,2026-05-10,MPreis,Kartoffeln,Kartoffeln,Kartoffeln,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Kartoffeln,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:21+0200,2026-05-10,MPreis,Mehl,Mehl,Weizenmehl universal,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Weizenmehl%20universal,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:24+0200,2026-05-10,MPreis,Milch,Milch,Vollmilch,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Vollmilch,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:27+0200,2026-05-10,MPreis,Nudeln,Nudeln,Spaghetti,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Spaghetti,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:29+0200,2026-05-10,MPreis,Reis,Reis,Langkornreis,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Langkornreis,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:32+0200,2026-05-10,MPreis,Schokolade,Schokolade,Vollmilchschokolade,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Vollmilchschokolade,,SCRAPE_ERROR: In argument: `brand = if_else(...)`.
2026-05-10T09:21:34+0200,2026-05-10,MPreis,Zwiebeln,Zwiebeln,Zwiebeln,Eigenmarke,,,,,EUR,,,,,,,,,,,mpreis,https://www.mpreis.at/search/Zwiebeln,,SCRAPE_ERROR: parser returned no products.
